timestamp,building_id,flow_rate_liters_min,daily_total_liters,leak_detected
2023-09-26 09:17:33,BLDG-227,185.8,4459.0,1
2023-02-05 16:20:12,BLDG-855,173.9,1008.1,1
2023-07-31 15:05:13,BLDG-659,338.8,9038.1,1
2023-07-10 20:26:47,BLDG-107,401.0,8151.5,1
2023-09-27 20:27:39,BLDG-274,44.6,1702.8,0
2023-08-23 13:44:12,BLDG-646,484.1,2071.9,0
2023-10-29 21:16:17,BLDG-109,455.8,3636.4,0
2023-05-09 19:57:29,BLDG-191,457.9,3441.1,0
2023-03-18 08:55:18,BLDG-231,134.7,5932.9,1
2023-07-08 12:28:47,BLDG-875,88.6,2564.4,0
2023-10-16 00:29:42,BLDG-480,414.4,1032.7,1
2023-04-20 18:40:51,BLDG-424,42.6,8868.5,1
2023-11-02 06:52:34,BLDG-583,196.0,8063.8,1
2023-06-10 22:08:59,BLDG-754,147.7,6676.0,1
2023-08-24 01:57:41,BLDG-613,266.1,7688.6,1
2023-08-24 02:51:08,BLDG-169,17.8,9616.6,1
2023-09-21 16:29:13,BLDG-964,273.2,7825.1,0
2023-08-24 07:17:34,BLDG-292,288.9,5907.0,0
2023-10-16 02:20:06,BLDG-695,44.5,3899.8,1
2023-11-20 19:06:28,BLDG-586,230.3,9290.1,0
2023-02-23 00:26:17,BLDG-624,494.8,3640.5,0
2023-09-14 06:21:07,BLDG-478,42.4,7859.3,0
2023-07-29 22:46:15,BLDG-682,85.7,1193.9,0
2023-07-08 23:59:48,BLDG-971,346.1,8323.4,0
2023-08-14 20:38:12,BLDG-971,47.0,6635.0,0
2023-12-21 16:28:54,BLDG-840,256.7,6139.8,0
2023-09-20 22:05:05,BLDG-593,363.5,4086.8,1
2023-10-26 11:28:42,BLDG-715,102.6,9500.5,0
2023-03-09 06:28:10,BLDG-423,189.7,3859.8,0
2023-10-11 06:14:28,BLDG-305,226.4,1703.6,1
2023-10-12 00:38:38,BLDG-658,161.2,1370.6,0
2023-03-19 05:21:35,BLDG-826,487.6,8355.8,0
2023-12-26 17:41:56,BLDG-729,135.0,5948.7,0
2023-07-15 10:44:30,BLDG-753,341.6,4900.3,0
2023-04-24 10:14:58,BLDG-678,83.1,6469.0,1
2023-09-06 11:52:37,BLDG-981,398.4,6299.0,1
2023-06-28 18:06:54,BLDG-815,62.4,4469.2,1
2023-06-30 16:06:44,BLDG-892,321.4,6495.3,0
2023-12-29 01:40:38,BLDG-128,95.8,5359.9,0
2023-05-20 06:41:43,BLDG-925,193.0,2766.9,0
2023-04-19 14:56:23,BLDG-251,114.7,6284.9,1
2023-09-05 10:01:54,BLDG-274,12.2,3768.9,1
2023-02-27 19:49:50,BLDG-276,237.5,8183.6,0
2023-08-06 16:30:08,BLDG-144,405.0,7474.0,0
2023-04-02 21:41:54,BLDG-608,426.4,8201.0,1
