forecast_date,condition,temp_high_C,temp_low_C,precipitation_mm,humidity_percent,wind_speed_kmh
2023-04-06,Partly Cloudy,14.6,1.4,31.1,39,36.4
2023-06-13,Snow,14.8,4.3,34.0,39,24.6
2023-01-15,Rain,3.0,-9.4,0.0,60,45.4
2023-07-26,Snow,27.9,20.4,0.0,44,5.5
2023-11-04,Cloudy,36.4,26.0,0.0,54,51.7
2023-08-03,Partly Cloudy,15.7,1.9,42.6,24,41.6
2023-11-21,Rain,-8.9,-19.1,0.0,100,12.2
2023-07-09,Partly Cloudy,22.3,12.7,12.8,25,27.8
2023-12-01,Partly Cloudy,-8.5,-15.6,11.9,26,35.1
2023-11-08,Sunny,3.3,-10.4,0.0,49,19.0
2023-12-25,Fog,0.9,-14.0,12.5,99,45.3
2023-08-24,Partly Cloudy,6.5,4.2,35.6,96,59.9
2023-07-30,Snow,31.4,26.2,0.0,90,31.7
2023-11-24,Partly Cloudy,8.8,6.4,25.7,90,7.9
2023-02-02,Partly Cloudy,36.4,22.3,0.0,89,36.7
2023-06-20,Sunny,15.2,9.1,30.9,51,21.1
2023-10-02,Fog,23.5,13.8,7.7,76,5.6
2023-04-16,Fog,8.8,4.8,41.8,51,38.9
2023-09-20,Cloudy,22.5,8.5,38.1,48,47.7
2023-08-07,Thunderstorm,-6.3,-14.3,6.4,84,53.7
2023-06-13,Rain,-0.1,-13.0,0.0,61,20.3
2023-10-23,Sunny,18.3,14.5,0.0,44,17.1
2023-08-11,Partly Cloudy,9.9,-0.6,36.0,78,28.0
2023-09-23,Rain,13.5,1.1,41.3,75,9.4
2023-06-05,Fog,21.4,9.7,0.0,64,49.8
2023-05-03,Thunderstorm,17.6,6.0,0.0,55,19.6
2023-12-26,Rain,10.8,1.5,38.8,99,41.5
2023-02-23,Partly Cloudy,18.9,4.2,0.0,38,3.1
2023-04-01,Snow,37.2,26.0,3.1,94,2.3
2023-04-23,Fog,26.3,22.3,0.0,81,38.7
2023-07-29,Thunderstorm,-0.5,-6.6,22.9,41,36.2
2023-10-09,Sunny,19.0,12.6,39.2,22,9.4
2023-11-25,Fog,7.6,-2.5,18.9,74,58.0
2023-12-24,Fog,30.7,23.0,0.0,62,14.9
2023-02-28,Sunny,32.6,24.3,24.5,55,25.0
2023-03-26,Thunderstorm,13.0,8.4,0.0,86,43.9
2023-02-27,Thunderstorm,-0.3,-13.8,34.5,52,50.8
2023-09-08,Cloudy,-8.1,-12.7,11.7,57,13.6
2023-12-29,Snow,1.4,-2.4,0.0,53,33.4
2023-10-28,Fog,-8.3,-14.1,39.0,65,26.2
2023-01-22,Thunderstorm,36.7,33.4,20.8,35,46.4
2023-11-29,Partly Cloudy,13.9,5.3,0.0,100,12.6
2023-06-29,Partly Cloudy,23.5,11.6,0.0,72,17.6
2023-10-06,Sunny,21.6,18.2,12.7,24,2.1
2023-04-24,Sunny,-4.8,-12.1,0.0,63,3.1
2023-03-24,Fog,12.3,1.1,0.0,64,49.8
2023-05-08,Cloudy,4.5,-4.2,0.0,79,11.5
2023-04-12,Cloudy,20.6,9.5,32.4,51,37.7
2023-10-05,Sunny,18.7,9.3,0.0,45,32.6
2023-06-03,Fog,38.0,32.8,41.3,74,39.7
2023-03-30,Thunderstorm,28.1,18.4,22.9,65,34.7
2023-08-31,Cloudy,-9.0,-13.7,39.6,23,28.0
2023-09-05,Cloudy,3.6,-9.4,11.4,85,51.2
2023-03-08,Thunderstorm,19.0,8.2,0.0,47,54.4
2023-10-23,Fog,0.5,-1.5,35.3,60,19.9
2023-12-16,Thunderstorm,-3.4,-8.8,13.8,70,41.3
2023-05-01,Snow,7.1,-2.1,24.7,48,8.1
2023-07-04,Rain,2.7,-9.9,0.0,89,14.8
2023-05-05,Snow,0.8,-12.1,0.0,89,36.0
2023-01-06,Sunny,31.4,20.7,42.9,34,10.7
2023-09-03,Partly Cloudy,25.8,23.6,41.7,66,56.4
