report_date,building_id,energy_consumption_kWh,area_m2,efficiency_score,hvac_usage_percent,lighting_usage_percent
2023-10-21,BLDG-984,18588.4,3898,0.73,24.0,39.4
2023-01-07,BLDG-664,8373.7,3033,0.68,66.3,29.8
2023-03-11,BLDG-680,18985.8,3983,0.84,60.4,23.5
2023-03-20,BLDG-956,8735.8,4412,0.57,60.6,26.4
2023-10-02,BLDG-773,7542.0,1245,0.91,31.0,20.5
2023-06-08,BLDG-479,2265.0,2250,0.69,44.4,34.4
2023-10-07,BLDG-202,18319.4,642,0.68,28.3,39.3
2023-08-22,BLDG-545,3100.0,2488,0.52,20.8,18.1
2023-08-24,BLDG-675,17388.0,3238,0.6,38.6,38.5
2023-09-09,BLDG-583,3253.5,1016,0.79,44.8,33.0
2023-12-21,BLDG-303,18480.6,2023,0.58,21.5,33.2
2023-06-29,BLDG-297,10951.7,2330,0.51,49.9,31.9
2023-06-04,BLDG-393,12622.5,864,0.54,46.9,13.9
2023-04-08,BLDG-447,12382.5,3876,0.56,55.8,27.0
2023-11-06,BLDG-465,18931.7,1762,0.55,55.4,36.1
2023-01-26,BLDG-374,12259.1,4087,0.7,59.9,20.9
2023-01-14,BLDG-592,12957.1,1456,0.58,39.2,36.9
2023-02-08,BLDG-414,13966.2,4001,0.51,44.6,15.0
2023-11-13,BLDG-350,17881.8,1434,0.9,30.9,10.1
2023-09-10,BLDG-579,13402.0,2096,0.88,43.9,36.5
2023-10-18,BLDG-876,6811.5,728,0.64,24.1,24.0
2023-07-20,BLDG-932,10592.2,4693,0.51,38.6,15.6
2023-01-23,BLDG-480,4737.2,3915,0.97,55.0,35.3
2023-10-21,BLDG-333,9206.9,1109,0.54,52.6,12.1
2023-04-18,BLDG-275,1640.7,4018,0.56,29.4,30.6
2023-06-04,BLDG-409,16288.0,2051,0.51,34.3,38.3
2023-08-15,BLDG-985,17478.0,2483,0.6,69.1,15.3
2023-10-16,BLDG-102,14271.0,4546,0.82,26.7,17.0
2023-06-26,BLDG-504,11489.2,2246,0.52,65.4,10.1
2023-09-12,BLDG-655,1472.4,4295,0.57,58.5,34.7
2023-03-23,BLDG-788,3486.1,4009,0.68,60.8,40.0
2023-11-10,BLDG-268,15818.5,864,0.63,58.6,21.4
2023-12-23,BLDG-745,10629.5,3847,0.68,23.5,21.0
2023-06-19,BLDG-306,11468.3,1011,0.78,66.1,15.9
2023-12-10,BLDG-263,6084.7,2296,0.75,51.0,15.5
2023-01-09,BLDG-467,13266.8,3794,0.86,41.4,13.9
2023-06-21,BLDG-146,18221.3,4455,0.52,40.2,15.9
2023-03-27,BLDG-149,19134.6,3039,0.81,21.4,35.4
2023-05-19,BLDG-831,9287.0,2917,0.64,20.5,15.7
2023-08-19,BLDG-263,15444.1,4320,0.66,64.3,16.5
2023-10-15,BLDG-564,3018.3,3541,0.92,45.4,27.1
2023-08-05,BLDG-704,13639.5,3873,0.83,33.7,25.4
2023-12-04,BLDG-808,6481.0,3138,0.8,27.5,20.3
2023-06-11,BLDG-713,2634.5,2828,0.53,68.6,14.8
2023-07-20,BLDG-821,9707.9,4669,0.5,65.2,30.6
2023-05-16,BLDG-972,15323.8,4620,0.98,56.3,13.2
2023-03-02,BLDG-679,14631.8,2892,0.86,49.6,27.0
2023-03-27,BLDG-910,18833.8,2162,0.8,21.3,17.6
2023-01-09,BLDG-245,2909.7,793,0.76,49.5,39.9
2023-06-19,BLDG-425,16137.2,859,0.53,41.5,28.8
2023-04-20,BLDG-861,9600.5,3666,0.96,63.3,23.1
2023-02-23,BLDG-133,7741.8,1644,0.56,50.2,30.4
2023-09-24,BLDG-123,7979.6,4782,0.67,64.4,10.8
2023-05-04,BLDG-801,12532.0,2024,0.82,59.8,26.4
2023-03-14,BLDG-825,3873.0,1667,0.85,60.4,18.6
2023-09-06,BLDG-862,16544.0,4889,0.61,55.0,39.1
2023-01-12,BLDG-634,6006.0,2773,0.61,26.1,20.9
2023-06-04,BLDG-409,2484.1,2503,0.91,20.2,36.0
2023-10-12,BLDG-420,16248.7,2295,0.67,36.4,16.6
2023-01-12,BLDG-296,3740.6,1213,0.62,62.2,39.4
2023-09-19,BLDG-384,9217.8,1766,0.65,25.6,31.0
2023-04-26,BLDG-455,7585.5,2984,0.69,56.1,25.9
2023-09-24,BLDG-886,2705.2,4252,0.9,35.3,39.6
2023-11-12,BLDG-284,18978.8,767,0.71,25.3,29.2
2023-06-21,BLDG-454,13765.9,925,0.58,22.5,20.3
2023-10-08,BLDG-316,17710.6,3321,0.99,59.8,31.6
2023-07-09,BLDG-832,8225.2,4119,0.98,20.2,10.8
2023-01-21,BLDG-782,17222.8,2166,1.0,25.8,26.7
2023-09-08,BLDG-718,9917.6,3448,0.55,45.4,24.1
2023-04-10,BLDG-734,16778.5,988,0.96,46.0,20.9
2023-04-24,BLDG-408,8085.0,4035,0.6,67.0,18.7
2023-02-23,BLDG-326,19886.9,2425,0.59,29.8,28.7
2023-11-28,BLDG-538,8318.7,833,0.95,51.8,21.0
2023-03-01,BLDG-621,2393.0,2408,0.66,53.3,16.9
2023-09-07,BLDG-116,17103.5,2278,0.69,24.1,34.5
2023-08-23,BLDG-288,17282.3,4618,0.57,57.0,33.7
2023-03-29,BLDG-159,10261.5,3308,0.87,26.9,25.4
2023-06-14,BLDG-399,13566.3,739,0.95,45.5,17.1
2023-01-28,BLDG-584,3816.8,4275,0.87,68.3,19.7
2023-03-31,BLDG-253,19765.0,2357,0.85,31.1,30.6
2023-08-04,BLDG-637,19333.7,2395,0.74,26.1,27.2
2023-10-18,BLDG-294,19148.0,1755,0.51,45.0,22.9
2023-01-07,BLDG-672,4144.5,500,0.79,63.3,14.2
2023-08-21,BLDG-925,9040.8,756,0.94,49.5,18.0
2023-08-24,BLDG-805,8924.5,2166,0.55,51.8,22.5
2023-05-28,BLDG-602,19258.7,3783,0.51,20.8,25.1
2023-12-22,BLDG-815,13426.8,1604,0.64,24.7,14.0
2023-06-29,BLDG-286,16390.8,4078,0.61,36.3,15.6
2023-01-20,BLDG-397,12257.2,823,0.61,50.4,14.9
2023-11-12,BLDG-243,18108.7,926,0.97,36.9,32.8
2023-03-14,BLDG-478,2378.4,726,0.99,22.1,36.9
2023-04-25,BLDG-744,18598.2,2431,0.67,38.0,16.3
2023-11-09,BLDG-654,15892.4,3659,0.96,51.3,38.1
2023-05-25,BLDG-436,16592.1,2141,0.68,40.6,26.6
2023-12-25,BLDG-876,18293.1,1323,0.62,35.5,10.2
2023-03-08,BLDG-897,7888.9,2714,0.85,64.7,32.9
